,Constraint_Number,Constraint_Number,Compilation_Time,Compilation_Time,Setup_Time,Setup_Time,Prover_Time,Prover_Time,Verifier_Time,Verifier_Time,Proof_Size,Proof_Size
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Resolution,,,,,,,,,,,,
0,25457.0,0.0,320375.0,15492.227823763616,6541980.166666667,325510.7873800538,18623.064814814814,740.9411770142406,3618.203703703704,282.8139851115977,48.0,0.0
1,25457.0,0.0,376994.9310344828,14057.401276972509,7603999.0344827585,230347.5554586766,21815.560344827587,611.1505855551785,4402.551724137931,628.9572593744205,48.0,0.0
2,25457.0,0.0,382057.75,6795.567041168585,7630370.283333333,156907.12630780225,22037.654166666667,125.13314071848953,4653.15,1020.8077032179726,48.0,0.0
3,25457.0,0.0,384452.2833333333,9763.026679022789,7713701.283333333,251074.53065108843,22086.810833333333,247.8421095757434,4539.25,717.7039809261812,48.0,0.0
4,25457.0,0.0,385284.71186440677,10368.560745483815,7855552.711864407,260294.14341319454,22272.063559322032,336.49026985861906,4705.661016949152,747.659672951249,48.0,0.0
5,25457.0,0.0,388187.8474576271,10318.282257827197,7800434.169491526,290756.8010447879,22334.563559322032,355.26516988534684,4539.932203389831,588.0274115240564,48.0,0.0
6,25457.0,0.0,391158.1525423729,13403.468818663378,7896366.915254237,306208.2739116881,22284.77966101695,328.29747760732414,4822.322033898305,843.5195037026864,48.0,0.0
7,25457.0,0.0,396325.6101694915,12855.359160230266,8077112.237288136,233268.42905932394,22597.75,481.25553010705465,4833.932203389831,780.5151451932857,48.0,0.0
8,25457.0,0.0,402786.18644067796,10400.608071538112,8194671.966101695,185338.07853980362,22891.438135593224,416.9972645592682,4776.28813559322,701.4108700682591,48.0,0.0
9,25457.0,0.0,397054.18644067796,11727.761329830528,8100030.983050847,256879.89777986985,22595.75,448.4526313739371,4703.237288135593,712.1850141976392,48.0,0.0
10,25457.0,0.0,389343.7413793103,11434.195223347648,8060474.0344827585,298220.46427221544,22314.325,340.5412561308729,4586.068965517241,656.4049312404696,48.0,0.0
11,25457.0,0.0,385727.42372881353,10411.70002383486,7836500.72881356,300686.8778530726,22184.478813559323,321.0021400191062,4624.881355932203,818.3774756048947,48.0,0.0
12,25457.0,0.0,389802.5263157895,12672.772877181065,7924733.684210527,268976.990052864,22357.237719298246,429.78592119888725,4543.473684210527,599.0935446054895,48.0,0.0
13,25457.0,0.0,395991.5593220339,12119.328691820583,8058323.915254237,284054.9484588167,22681.95338983051,745.6622460919763,4636.016949152542,554.2577357500821,48.0,0.0
14,25457.0,0.0,393405.5263157895,14532.410027866861,7939748.385964912,318908.69331130915,22553.91754385965,503.49624568496995,4769.017543859649,780.6500837495286,48.0,0.0
15,25457.0,0.0,389541.8771929825,12913.881079606565,7891667.649122807,317081.54599850683,22349.17105263158,382.7243914577813,4534.9473684210525,535.6108469059492,48.0,0.0
